table_name,column_name,description
Activities,activityId,Unique numeric identifier for the activity record.
Activities,type,"Category of activity such as call, meeting, email, or task."
Activities,subject,Brief title or summary line of the activity.
Activities,startDateTime,Timestamp when the activity begins or is scheduled to begin.
Activities,endDateTime,Timestamp when the activity ends, can be NULL.
Activities,priority,"Importance level of the activity (low, medium, high, urgent)."
Activities,guests,Text field listing invited participants or attendees.
Activities,location,"Physical address or virtual meeting link for the activity."
Activities,videoCallIntegration,Name or identifier of video conferencing platform used.
Activities,description,Detailed explanatory text about the activity purpose.
Activities,status,"Current state of the activity such as planned, completed, or cancelled."
Activities,notes,Additional free-text remarks or internal comments.
Activities,assignedTo,Numeric user ID of the person responsible for this activity.
Activities,dealId,Numeric identifier linking this activity to a specific deal, can be NULL.
Activities,leadId,Numeric identifier linking this activity to a specific lead, can be NULL.
Activities,personId,Numeric identifier linking this activity to a specific person or contact, can be NULL.
Activities,leadOrganizationId,Numeric identifier linking this activity to a specific organization, can be NULL.
Activities,masterUserID,Numeric identifier of the CRM user who owns this record.
Activities,isDone,Boolean flag indicating whether the activity is completed.
Activities,contactPerson,Name of the primary contact person associated with this activity.
Activities,email,Email address associated with the activity or primary contact.
Activities,organization,Organization name associated with this activity.
Activities,dueDate,Timestamp deadline by which the activity should be completed.
Activities,markedAsDoneTime,Timestamp when the activity was marked as completed.
Activities,calendar_event_id,External calendar system event identifier, can be NULL.
Activities,activityTypeFlag,String indicator for activity type classification, defaults to 'time'.
Activities,allContactPersons,Text field listing multiple contact persons involved in this activity.
Activities,createdAt,Timestamp when this record was created.
Activities,updatedAt,Timestamp when this record was last modified.
ActivityColumns,id,Unique numeric primary key.
ActivityColumns,masterUserID,Numeric user identifier who owns these column preferences.
ActivityColumns,columns,"JSON or text field storing column visibility and display order preferences."
ActivityColumns,createdAt,Timestamp when this record was created.
ActivityColumns,updatedAt,Timestamp when this record was last modified.
ActivitySettings,activitySettingId,Unique numeric identifier for this activity settings record.
ActivitySettings,masterUserID,Numeric user identifier these settings belong to.
ActivitySettings,showPopup,Boolean flag whether to show activity popup after deal creation.
